YEAR,FIPSSTCO,COUNTYNAME,ATTRIBUTES,MEASURE,VALUE
YR_2011,06083,Santa Barbara,Age group=65-84,Aggregate number of days in the hospital,73017.3323287964
YR_2011,06083,Santa Barbara,Age group=65-84,Number of inpatient days per 100000 population,131986.0676201080
YR_2011,06083,Santa Barbara,Age group=65-84,Mean cost per stay $,16788.2690561052
YR_2011,06083,Santa Barbara,Age group=65-84,Aggregate costs for all hospital stays $,215040938.3396509900
YR_2011,06083,Santa Barbara,Age group=65-84,Costs for inpatient stays per capita $,3887.0781667266
YR_2011,06083,Santa Barbara,Age group=Missing,Total number of discharges,†
YR_2011,06083,Santa Barbara,Age group=Missing,Rate of discharges per 100000 population,†
YR_2011,06083,Santa Barbara,Age group=Missing,Mean length of stay days,†
YR_2011,06083,Santa Barbara,Age group=Missing,Aggregate number of days in the hospital,†
YR_2011,06083,Santa Barbara,Age group=Missing,Number of inpatient days per 100000 population,†
YR_2011,06083,Santa Barbara,Age group=Missing,Mean cost per stay $,†
YR_2011,06083,Santa Barbara,Age group=Missing,Aggregate costs for all hospital stays $,†
YR_2011,06083,Santa Barbara,Age group=Missing,Costs for inpatient stays per capita $,†
YR_2011,06083,Santa Barbara,Sex=Male,Total number of discharges,15454.0000000000
YR_2011,06083,Santa Barbara,Sex=Male,Rate of discharges per 100000 population,7367.9242134572
YR_2011,06083,Santa Barbara,Sex=Male,Mean length of stay days,4.7988405454
YR_2011,06083,Santa Barbara,Sex=Male,Aggregate number of days in the hospital,74161.2817878723
YR_2011,06083,Santa Barbara,Sex=Male,Number of inpatient days per 100000 population,35357.4934506202
YR_2011,06083,Santa Barbara,Sex=Male,Mean cost per stay $,15248.3928239381
YR_2011,06083,Santa Barbara,Sex=Male,Aggregate costs for all hospital stays $,235648662.7011390000
YR_2011,06083,Santa Barbara,Sex=Male,Costs for inpatient stays per capita $,1123.4900270380
YR_2011,06083,Santa Barbara,Sex=Female,Total number of discharges,22105.0000000000
YR_2011,06083,Santa Barbara,Sex=Female,Rate of discharges per 100000 population,10764.2862360303
YR_2011,06083,Santa Barbara,Sex=Female,Mean length of stay days,4.0969883506
YR_2011,06083,Santa Barbara,Sex=Female,Aggregate number of days in the hospital,90563.9274902344
YR_2011,06083,Santa Barbara,Sex=Female,Number of inpatient days per 100000 population,44101.1553116478
YR_2011,06083,Santa Barbara,Sex=Female,Mean cost per stay $,11038.6098187013
YR_2011,06083,Santa Barbara,Sex=Female,Aggregate costs for all hospital stays $,244008470.0423919900
YR_2011,06083,Santa Barbara,Sex=Female,Costs for inpatient stays per capita $,1188.2275573635
YR_2011,06083,Santa Barbara,Sex=Missing,Total number of discharges,†
YR_2011,06083,Santa Barbara,Sex=Missing,Rate of discharges per 100000 population,†
YR_2011,06083,Santa Barbara,Sex=Missing,Mean length of stay days,†
YR_2011,06083,Santa Barbara,Sex=Missing,Aggregate number of days in the hospital,†
YR_2011,06083,Santa Barbara,Sex=Missing,Number of inpatient days per 100000 population,†
YR_2011,06083,Santa Barbara,Sex=Missing,Mean cost per stay $,†
YR_2011,06083,Santa Barbara,Sex=Missing,Aggregate costs for all hospital stays $,†
YR_2011,06083,Santa Barbara,Sex=Missing,Costs for inpatient stays per capita $,†
YR_2011,06083,Santa Barbara,Payer=Medicare,Total number of discharges,13439.0000000000
YR_2011,06083,Santa Barbara,Payer=Medicare,Rate of discharges per 100000 population,†
YR_2011,06083,Santa Barbara,Payer=Medicare,Mean length of stay days,5.7002560411
YR_2011,06083,Santa Barbara,Payer=Medicare,Aggregate number of days in the hospital,76605.7409362793
YR_2011,06083,Santa Barbara,Payer=Medicare,Number of inpatient days per 100000 population,†
YR_2011,06083,Santa Barbara,Payer=Medicare,Mean cost per stay $,17108.9502664961
YR_2011,06083,Santa Barbara,Payer=Medicare,Aggregate costs for all hospital stays $,229927182.6314410000
YR_2011,06083,Santa Barbara,Payer=Medicare,Costs for inpatient stays per capita $,†
YR_2011,06083,Santa Barbara,Payer=Medicaid,Total number of discharges,10235.0000000000
YR_2011,06083,Santa Barbara,Payer=Medicaid,Rate of discharges per 100000 population,†
YR_2011,06083,Santa Barbara,Payer=Medicaid,Mean length of stay days,3.7375152264
YR_2011,06083,Santa Barbara,Payer=Medicaid,Aggregate number of days in the hospital,38253.4683418274
YR_2011,06083,Santa Barbara,Payer=Medicaid,Number of inpatient days per 100000 population,†
YR_2011,06083,Santa Barbara,Payer=Medicaid,Mean cost per stay $,7908.5752905584
YR_2011,06083,Santa Barbara,Payer=Medicaid,Aggregate costs for all hospital stays $,80944268.0988654940
YR_2011,06083,Santa Barbara,Payer=Medicaid,Costs for inpatient stays per capita $,†
YR_2011,06083,Santa Barbara,Payer=Private insurance,Total number of discharges,10781.0000000000
YR_2011,06083,Santa Barbara,Payer=Private insurance,Rate of discharges per 100000 population,†
YR_2011,06083,Santa Barbara,Payer=Private insurance,Mean length of stay days,3.5277803543
YR_2011,06083,Santa Barbara,Payer=Private insurance,Aggregate number of days in the hospital,38033.0000000000
YR_2011,06083,Santa Barbara,Payer=Private insurance,Number of inpatient days per 100000 population,†
YR_2011,06083,Santa Barbara,Payer=Private insurance,Mean cost per stay $,11667.0390728619
YR_2011,06083,Santa Barbara,Payer=Private insurance,Aggregate costs for all hospital stays $,125782348.2445240000
YR_2011,06083,Santa Barbara,Payer=Private insurance,Costs for inpatient stays per capita $,†
YR_2011,06083,Santa Barbara,Payer=Uninsured,Total number of discharges,1404.0000000000
YR_2011,06083,Santa Barbara,Payer=Uninsured,Rate of discharges per 100000 population,†
YR_2011,06083,Santa Barbara,Payer=Uninsured,Mean length of stay days,3.9294871795
YR_2011,06083,Santa Barbara,Payer=Uninsured,Aggregate number of days in the hospital,5517.0000000000
YR_2011,06083,Santa Barbara,Payer=Uninsured,Number of inpatient days per 100000 population,†
YR_2011,06083,Santa Barbara,Payer=Uninsured,Mean cost per stay $,13253.2123411166
YR_2011,06083,Santa Barbara,Payer=Uninsured,Aggregate costs for all hospital stays $,18607510.1269275990
YR_2011,06083,Santa Barbara,Payer=Uninsured,Costs for inpatient stays per capita $,†
YR_2011,06083,Santa Barbara,Payer=Other,Total number of discharges,1703.0000000000
YR_2011,06083,Santa Barbara,Payer=Other,Rate of discharges per 100000 population,†
YR_2011,06083,Santa Barbara,Payer=Other,Mean length of stay days,3.7122724604
YR_2011,06083,Santa Barbara,Payer=Other,Aggregate number of days in the hospital,6322.0000000000
YR_2011,06083,Santa Barbara,Payer=Other,Number of inpatient days per 100000 population,†
YR_2011,06083,Santa Barbara,Payer=Other,Mean cost per stay $,14326.3338736755
YR_2011,06083,Santa Barbara,Payer=Other,Aggregate costs for all hospital stays $,24397746.5868694000
YR_2011,06083,Santa Barbara,Payer=Other,Costs for inpatient stays per capita $,†
YR_2011,06083,Santa Barbara,Payer=Missing,Total number of discharges,†
YR_2011,06083,Santa Barbara,Payer=Missing,Rate of discharges per 100000 population,†
YR_2011,06083,Santa Barbara,Payer=Missing,Mean length of stay days,†
YR_2011,06083,Santa Barbara,Payer=Missing,Aggregate number of days in the hospital,†
YR_2011,06083,Santa Barbara,Payer=Missing,Number of inpatient days per 100000 population,†
YR_2011,06083,Santa Barbara,Payer=Missing,Mean cost per stay $,†
YR_2011,06083,Santa Barbara,Payer=Missing,Aggregate costs for all hospital stays $,†
YR_2011,06083,Santa Barbara,Payer=Missing,Costs for inpatient stays per capita $,†
YR_2011,06111,Ventura,Ventura,Total number of discharges,82099.0000000000
YR_2011,06111,Ventura,Ventura,Rate of discharges per 100000 population,10033.7681352485
YR_2011,06111,Ventura,Ventura,Mean length of stay days,4.4086933741
YR_2011,06111,Ventura,Ventura,Aggregate number of days in the hospital,361949.3173217770
YR_2011,06111,Ventura,Ventura,Number of inpatient days per 100000 population,44235.8070953143
YR_2011,06111,Ventura,Ventura,Mean cost per stay $,13052.3946665868
YR_2011,06111,Ventura,Ventura,Aggregate costs for all hospital stays $,1071588549.7321100000
YR_2011,06111,Ventura,Ventura,Costs for inpatient stays per capita $,1309.6470169429
YR_2011,06111,Ventura,Age group=<1,Total number of discharges,11504.0000000000
YR_2011,06111,Ventura,Age group=<1,Rate of discharges per 100000 population,93270.6340197827
YR_2011,06111,Ventura,Age group=<1,Mean length of stay days,3.7797287900
YR_2011,06111,Ventura,Age group=<1,Aggregate number of days in the hospital,43482.0000000000
YR_2011,06111,Ventura,Age group=<1,Number of inpatient days per 100000 population,352537.7006648290
YR_2011,06111,Ventura,Age group=<1,Mean cost per stay $,5345.4208804214
YR_2011,06111,Ventura,Age group=<1,Aggregate costs for all hospital stays $,61493721.8083681990
YR_2011,06111,Ventura,Age group=<1,Costs for inpatient stays per capita $,4985.7079461949
YR_2011,06111,Ventura,Age group=1-17,Total number of discharges,3392.0000000000
YR_2011,06111,Ventura,Age group=1-17,Rate of discharges per 100000 population,1688.7720556020
YR_2011,06111,Ventura,Age group=1-17,Mean length of stay days,3.3620283019
YR_2011,06111,Ventura,Age group=1-17,Aggregate number of days in the hospital,11404.0000000000
YR_2011,06111,Ventura,Age group=1-17,Number of inpatient days per 100000 population,5677.6994463695
YR_2011,06111,Ventura,Age group=1-17,Mean cost per stay $,11888.8327431610
YR_2011,06111,Ventura,Age group=1-17,Aggregate costs for all hospital stays $,40326920.6648020000
YR_2011,06111,Ventura,Age group=1-17,Costs for inpatient stays per capita $,200.7752851038
YR_2011,06111,Ventura,Age group=18-44,Total number of discharges,21435.0000000000
YR_2011,06111,Ventura,Age group=18-44,Rate of discharges per 100000 population,7469.8123399139
YR_2011,06111,Ventura,Age group=18-44,Mean length of stay days,3.1927221833
YR_2011,06111,Ventura,Age group=18-44,Aggregate number of days in the hospital,68436.0000000000
YR_2011,06111,Ventura,Age group=18-44,Number of inpatient days per 100000 population,23849.0355630674
YR_2011,06111,Ventura,Age group=18-44,Mean cost per stay $,8525.3089290180
YR_2011,06111,Ventura,Age group=18-44,Aggregate costs for all hospital stays $,182739996.8935020000
YR_2011,06111,Ventura,Age group=18-44,Costs for inpatient stays per capita $,636.8245783956
YR_2011,06111,Ventura,Age group=45-64,Total number of discharges,18030.0000000000
YR_2011,06111,Ventura,Age group=45-64,Rate of discharges per 100000 population,8254.5118255153
YR_2011,06111,Ventura,Age group=45-64,Mean length of stay days,4.6126917521
YR_2011,06111,Ventura,Age group=45-64,Aggregate number of days in the hospital,83166.8322906494
YR_2011,06111,Ventura,Age group=45-64,Number of inpatient days per 100000 population,38075.5186152974
YR_2011,06111,Ventura,Age group=45-64,Mean cost per stay $,17148.7455290596
YR_2011,06111,Ventura,Age group=45-64,Aggregate costs for all hospital stays $,309191881.8889439700
YR_2011,06111,Ventura,Age group=45-64,Costs for inpatient stays per capita $,1415.5452276237
YR_2011,06111,Ventura,Age group=65-84,Total number of discharges,27731.0000000000
YR_2011,06111,Ventura,Age group=65-84,Rate of discharges per 100000 population,27826.7239303203
YR_2011,06111,Ventura,Age group=65-84,Mean length of stay days,5.6055852667
YR_2011,06111,Ventura,Age group=65-84,Aggregate number of days in the hospital,155448.4850311280
YR_2011,06111,Ventura,Age group=65-84,Number of inpatient days per 100000 population,155985.0736846030
YR_2011,06111,Ventura,Age group=65-84,Mean cost per stay $,17229.1572101030
YR_2011,06111,Ventura,Age group=65-84,Aggregate costs for all hospital stays $,477781758.5933650100
YR_2011,06111,Ventura,Age group=65-84,Costs for inpatient stays per capita $,4794.3100123762
YR_2011,06111,Ventura,Age group=Missing,Total number of discharges,†
YR_2011,06111,Ventura,Age group=Missing,Rate of discharges per 100000 population,†
YR_2011,06111,Ventura,Age group=Missing,Mean length of stay days,†
YR_2011,06111,Ventura,Age group=Missing,Aggregate number of days in the hospital,†
YR_2011,06111,Ventura,Age group=Missing,Number of inpatient days per 100000 population,†
YR_2011,06111,Ventura,Age group=Missing,Mean cost per stay $,†
YR_2011,06111,Ventura,Age group=Missing,Aggregate costs for all hospital stays $,†
YR_2011,06111,Ventura,Age group=Missing,Costs for inpatient stays per capita $,†
YR_2011,06111,Ventura,Sex=Male,Total number of discharges,33696.0000000000
YR_2011,06111,Ventura,Sex=Male,Rate of discharges per 100000 population,8215.9515664584
YR_2011,06111,Ventura,Sex=Male,Mean length of stay days,4.7115910414
YR_2011,06111,Ventura,Sex=Male,Aggregate number of days in the hospital,158761.7717323300
YR_2011,06111,Ventura,Sex=Male,Number of inpatient days per 100000 population,38710.2037974224
YR_2011,06111,Ventura,Sex=Male,Mean cost per stay $,15031.8579407042
YR_2011,06111,Ventura,Sex=Male,Aggregate costs for all hospital stays $,506513485.1699699800
YR_2011,06111,Ventura,Sex=Male,Costs for inpatient stays per capita $,1235.0101679471
YR_2011,06111,Ventura,Sex=Female,Total number of discharges,48390.0000000000
YR_2011,06111,Ventura,Sex=Female,Rate of discharges per 100000 population,11857.4460056163
YR_2011,06111,Ventura,Sex=Female,Mean length of stay days,4.1947829219
YR_2011,06111,Ventura,Sex=Female,Aggregate number of days in the hospital,202985.5455894470
YR_2011,06111,Ventura,Sex=Female,Number of inpatient days per 100000 population,49739.4120013935
YR_2011,06111,Ventura,Sex=Female,Mean cost per stay $,11667.3484932748
YR_2011,06111,Ventura,Sex=Female,Aggregate costs for all hospital stays $,564582993.5895669500
YR_2011,06111,Ventura,Sex=Female,Costs for inpatient stays per capita $,1383.4495478772
YR_2011,06111,Ventura,Sex=Missing,Total number of discharges,13.0000000000
YR_2011,06111,Ventura,Sex=Missing,Rate of discharges per 100000 population,†
YR_2011,06111,Ventura,Sex=Missing,Mean length of stay days,15.5384615385
YR_2011,06111,Ventura,Sex=Missing,Aggregate number of days in the hospital,202.0000000000
YR_2011,06111,Ventura,Sex=Missing,Number of inpatient days per 100000 population,†
YR_2011,06111,Ventura,Sex=Missing,Mean cost per stay $,37851.6132747622
YR_2011,06111,Ventura,Sex=Missing,Aggregate costs for all hospital stays $,492070.9725719090
YR_2011,06111,Ventura,Sex=Missing,Costs for inpatient stays per capita $,†
YR_2011,06111,Ventura,Payer=Medicare,Total number of discharges,29147.0000000000
YR_2011,06111,Ventura,Payer=Medicare,Rate of discharges per 100000 population,†
YR_2011,06111,Ventura,Payer=Medicare,Mean length of stay days,5.6326907185
YR_2011,06111,Ventura,Payer=Medicare,Aggregate number of days in the hospital,164176.0363731380
YR_2011,06111,Ventura,Payer=Medicare,Number of inpatient days per 100000 population,†
YR_2011,06111,Ventura,Payer=Medicare,Mean cost per stay $,17240.4309449674
YR_2011,06111,Ventura,Payer=Medicare,Aggregate costs for all hospital stays $,502506840.7529659900
YR_2011,06111,Ventura,Payer=Medicare,Costs for inpatient stays per capita $,†
YR_2011,06111,Ventura,Payer=Medicaid,Total number of discharges,16270.0000000000
YR_2011,06111,Ventura,Payer=Medicaid,Rate of discharges per 100000 population,†
YR_2011,06111,Ventura,Payer=Medicaid,Mean length of stay days,4.0580887565
YR_2011,06111,Ventura,Payer=Medicaid,Aggregate number of days in the hospital,66025.1040687561
YR_2011,06111,Ventura,Payer=Medicaid,Number of inpatient days per 100000 population,†
YR_2011,06111,Ventura,Payer=Medicaid,Mean cost per stay $,8843.8505791352
YR_2011,06111,Ventura,Payer=Medicaid,Aggregate costs for all hospital stays $,143889448.9225300000
YR_2011,06111,Ventura,Payer=Medicaid,Costs for inpatient stays per capita $,†
YR_2011,06111,Ventura,Payer=Private insurance,Total number of discharges,29610.0000000000
YR_2011,06111,Ventura,Payer=Private insurance,Rate of discharges per 100000 population,†
YR_2011,06111,Ventura,Payer=Private insurance,Mean length of stay days,3.5737501161
YR_2011,06111,Ventura,Payer=Private insurance,Aggregate number of days in the hospital,105818.7409362790
YR_2011,06111,Ventura,Payer=Private insurance,Number of inpatient days per 100000 population,†
YR_2011,06111,Ventura,Payer=Private insurance,Mean cost per stay $,11700.6182229949
YR_2011,06111,Ventura,Payer=Private insurance,Aggregate costs for all hospital stays $,346455305.5828800200
YR_2011,06111,Ventura,Payer=Private insurance,Costs for inpatient stays per capita $,†
YR_2011,06111,Ventura,Payer=Uninsured,Total number of discharges,4052.0000000000
YR_2011,06111,Ventura,Payer=Uninsured,Rate of discharges per 100000 population,†
YR_2011,06111,Ventura,Payer=Uninsured,Mean length of stay days,3.3136722606
YR_2011,06111,Ventura,Payer=Uninsured,Aggregate number of days in the hospital,13427.0000000000
YR_2011,06111,Ventura,Payer=Uninsured,Number of inpatient days per 100000 population,†
YR_2011,06111,Ventura,Payer=Uninsured,Mean cost per stay $,9471.9187438034
YR_2011,06111,Ventura,Payer=Uninsured,Aggregate costs for all hospital stays $,38380214.7498914970
YR_2011,06111,Ventura,Payer=Uninsured,Costs for inpatient stays per capita $,†
YR_2011,06111,Ventura,Payer=Other,Total number of discharges,2991.0000000000
YR_2011,06111,Ventura,Payer=Other,Rate of discharges per 100000 population,†
YR_2011,06111,Ventura,Payer=Other,Mean length of stay days,4.1409013519
YR_2011,06111,Ventura,Payer=Other,Aggregate number of days in the hospital,12385.4359436035
YR_2011,06111,Ventura,Payer=Other,Number of inpatient days per 100000 population,†
YR_2011,06111,Ventura,Payer=Other,Mean cost per stay $,13385.8888210386
YR_2011,06111,Ventura,Payer=Other,Aggregate costs for all hospital stays $,40037193.4637262970
YR_2011,06111,Ventura,Payer=Other,Costs for inpatient stays per capita $,†
YR_2011,06111,Ventura,Payer=Missing,Total number of discharges,29.0000000000
YR_2011,06111,Ventura,Payer=Missing,Rate of discharges per 100000 population,†
YR_2011,06111,Ventura,Payer=Missing,Mean length of stay days,4.0344827586
YR_2011,06111,Ventura,Payer=Missing,Aggregate number of days in the hospital,117.0000000000
YR_2011,06111,Ventura,Payer=Missing,Number of inpatient days per 100000 population,†
YR_2011,06111,Ventura,Payer=Missing,Mean cost per stay $,11018.8365556812
YR_2011,06111,Ventura,Payer=Missing,Aggregate costs for all hospital stays $,319546.2601147560
YR_2011,06111,Ventura,Payer=Missing,Costs for inpatient stays per capita $,†
YR_2011,06071,San Bernardino,San Bernardino,Total number of discharges,215641.0000000000
YR_2011,06071,San Bernardino,San Bernardino,Rate of discharges per 100000 population,10571.8810056085
YR_2011,06071,San Bernardino,San Bernardino,Mean length of stay days,4.1565595324
YR_2011,06071,San Bernardino,San Bernardino,Aggregate number of days in the hospital,896324.6541204450
YR_2011,06071,San Bernardino,San Bernardino,Number of inpatient days per 100000 population,43942.6527689750
YR_2011,06071,San Bernardino,San Bernardino,Mean cost per stay $,11299.0554957717
YR_2011,06071,San Bernardino,San Bernardino,Aggregate costs for all hospital stays $,2436539626.1637001000
YR_2011,06071,San Bernardino,San Bernardino,Costs for inpatient stays per capita $,1194.5227017706
YR_2011,06071,San Bernardino,Age group=<1,Total number of discharges,33180.0000000000
YR_2011,06071,San Bernardino,Age group=<1,Rate of discharges per 100000 population,98107.6286221171
YR_2011,06071,San Bernardino,Age group=<1,Mean length of stay days,3.7057564798
YR_2011,06071,San Bernardino,Age group=<1,Aggregate number of days in the hospital,122957.0000000000
YR_2011,06071,San Bernardino,Age group=<1,Number of inpatient days per 100000 population,363562.9804849200
YR_2011,06071,San Bernardino,Age group=<1,Mean cost per stay $,6010.7036845569
YR_2011,06071,San Bernardino,Age group=<1,Aggregate costs for all hospital stays $,199435148.2535989900
YR_2011,06071,San Bernardino,Age group=<1,Costs for inpatient stays per capita $,5896.9588484210
YR_2011,06071,San Bernardino,Age group=1-17,Total number of discharges,11166.0000000000
YR_2011,06071,San Bernardino,Age group=1-17,Rate of discharges per 100000 population,1957.1893316880
YR_2011,06071,San Bernardino,Age group=1-17,Mean length of stay days,3.9899695504
YR_2011,06071,San Bernardino,Age group=1-17,Aggregate number of days in the hospital,44552.0000000000
YR_2011,06071,San Bernardino,Age group=1-17,Number of inpatient days per 100000 population,7809.1258378439
YR_2011,06071,San Bernardino,Age group=1-17,Mean cost per stay $,12379.2429312690
YR_2011,06071,San Bernardino,Age group=1-17,Aggregate costs for all hospital stays $,138226626.5705499900
YR_2011,06071,San Bernardino,Age group=1-17,Costs for inpatient stays per capita $,242.2852219945
YR_2011,06071,San Bernardino,Age group=18-44,Total number of discharges,64956.0000000000
YR_2011,06071,San Bernardino,Age group=18-44,Rate of discharges per 100000 population,8287.4767952946
YR_2011,06071,San Bernardino,Age group=18-44,Mean length of stay days,3.2935357833
YR_2011,06071,San Bernardino,Age group=18-44,Aggregate number of days in the hospital,213934.9103393550
YR_2011,06071,San Bernardino,Age group=18-44,Number of inpatient days per 100000 population,27295.1013784846
YR_2011,06071,San Bernardino,Age group=18-44,Mean cost per stay $,8140.0084654464
YR_2011,06071,San Bernardino,Age group=18-44,Aggregate costs for all hospital stays $,528742389.8815379700
YR_2011,06071,San Bernardino,Age group=18-44,Costs for inpatient stays per capita $,674.6013127089
YR_2011,06071,San Bernardino,Age group=45-64,Total number of discharges,52815.0000000000
YR_2011,06071,San Bernardino,Age group=45-64,Rate of discharges per 100000 population,11241.8982343738
YR_2011,06071,San Bernardino,Age group=45-64,Mean length of stay days,4.7299062150
YR_2011,06071,San Bernardino,Age group=45-64,Aggregate number of days in the hospital,249809.9967451100
YR_2011,06071,San Bernardino,Age group=45-64,Number of inpatient days per 100000 population,53173.1243271378
YR_2011,06071,San Bernardino,Age group=45-64,Mean cost per stay $,14541.8824243359
YR_2011,06071,San Bernardino,Age group=45-64,Aggregate costs for all hospital stays $,768029520.2412979600
YR_2011,06071,San Bernardino,Age group=45-64,Costs for inpatient stays per capita $,1634.7836235061
YR_2011,06071,San Bernardino,Age group=65-84,Total number of discharges,53508.0000000000
YR_2011,06071,San Bernardino,Age group=65-84,Rate of discharges per 100000 population,29426.1925450126
YR_2011,06071,San Bernardino,Age group=65-84,Mean length of stay days,4.9529368886
YR_2011,06071,San Bernardino,Age group=65-84,Aggregate number of days in the hospital,265021.7470359800
YR_2011,06071,San Bernardino,Age group=65-84,Number of inpatient days per 100000 population,145746.0745476630
YR_2011,06071,San Bernardino,Age group=65-84,Mean cost per stay $,14987.4385401086
YR_2011,06071,San Bernardino,Age group=65-84,Aggregate costs for all hospital stays $,801947861.4041299800
YR_2011,06071,San Bernardino,Age group=65-84,Costs for inpatient stays per capita $,4410.2325223778
YR_2011,06071,San Bernardino,Age group=Missing,Total number of discharges,16.0000000000
YR_2011,06071,San Bernardino,Age group=Missing,Rate of discharges per 100000 population,†
YR_2011,06071,San Bernardino,Age group=Missing,Mean length of stay days,3.0625000000
YR_2011,06071,San Bernardino,Age group=Missing,Aggregate number of days in the hospital,49.0000000000
YR_2011,06071,San Bernardino,Age group=Missing,Number of inpatient days per 100000 population,†
YR_2011,06071,San Bernardino,Age group=Missing,Mean cost per stay $,9879.9882865574
YR_2011,06071,San Bernardino,Age group=Missing,Aggregate costs for all hospital stays $,158079.8125849180
